ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
1,BUG Lands,sansasaaaaaan,Sneak & Show,Show & Tell,P ,2,0,1,30,40%,4%,,2/4/2020,League,
2,BUG Lands,Krazylawllko,G Cloudpost,Big Mana,D,2,1,1,24,83%,3%,,2/4/2020,League,
3,BUG Lands,Andreas_Mueller,Grixis Delver,Delver,P,2,1,1,111,58%,14%,,2/4/2020,League,
4,BUG Lands,Kringring,Splinter Twin,Combo-Control,P,1,2,0,7,43%,1%,,2/4/2020,League,
5,BUG Lands,romariovidal,Turbo Depths,BGx Depths,D,2,1,1,16,38%,2%,,2/4/2020,League,
6,BUG Lands,EronRelentless,Turbo Depths,BGx Depths,P,1,2,0,16,38%,2%,,2/5/2020,League,
7,BUG Lands,Krazylawllko,Dredge,Graveyard,P,1,2,0,66,65%,8%,,2/5/2020,League,
8,BUG Lands,DurdleTurtleLoL,UR Delver,Delver,D,0,2,0,111,58%,14%,,2/5/2020,League,
9,BUG Lands,magicjim89,UR Delver,Delver,P,2,0,1,111,58%,14%,,2/5/2020,League,
10,BUG Lands,PaRalien,Belcher,Storm,D,1,2,0,54,35%,7%,50%,2/5/2020,League,
11,BUG Lands,shay84,ANT,Storm,P,0,2,0,54,35%,7%,40%,2/5/2020,Practice,
12,BUG Lands,usedraymond,B Reanimate,Graveyard,D,2,1,1,66,65%,8%,40%,2/5/2020,Practice,
13,RG Lands,Michael A,Astrolabe Control,Non-W Control,P,2,1,1,59,63%,7%,40%,2/5/2020,Weekly,
14,RG Lands,Robert M,4c Loam,Knight,D,0,2,0,33,52%,4%,40%,2/5/2020,Weekly,
15,RG Lands,Peter C,Merfolk,Tribal,D,2,1,1,63,78%,8%,40%,2/5/2020,Weekly,
16,BUG Lands,prehistoricmop,Omnishow,Show & Tell,D,2,1,1,30,40%,4%,50%,2/6/2020,League,
17,BUG Lands,Guizmy,Elves,Tribal,P,2,0,1,63,78%,8%,60%,2/6/2020,League,
18,BUG Lands,JPA93,Grixis Delver,Delver,D,2,0,1,111,58%,14%,70%,2/6/2020,League,
19,BUG Lands,laywer,ANT,Storm,P,2,1,1,54,35%,7%,70%,2/6/2020,League,
20,BUG Lands,tomjab,W Eldrazi,White Creatures,P,2,0,1,35,66%,4%,80%,2/6/2020,League,
21,RG Lands,c-cream,G Cloudpost,Big Mana,P,2,1,1,24,83%,3%,90%,2/6/2020,League,
22,RG Lands,Shamwowfella,Grixis Control,Non-W Control,D,2,1,1,59,63%,7%,90%,2/6/2020,League,
23,RG Lands,xjosho,Moon Stompy,Chalice,D,1,2,0,28,57%,4%,80%,2/6/2020,League,
24,RG Lands,motown4,Grixis Vial Smasher,Brew,D,1,2,0,125,58%,16%,80%,2/6/2020,League,
25,RG Lands,malimujo,Death & Taxes,White Creatures,D,0,2,0,35,66%,4%,70%,2/6/2020,League,
26,BUG Lands,NutKnocker,RB Reanimate,Brew,P,2,0,1,125,58%,16%,70%,2/7/2020,Practice,
27,BUG Lands,Qwupuf,Lands,Lands,D,2,0,1,14,57%,2%,70%,2/7/2020,Practice,
28,BUG Lands,ECE,UWx Stoneblade,UW,P,1,2,0,41,44%,5%,60%,2/7/2020,League,
29,BUG Lands,Ultrab,Omnishow,Show & Tell,D,0,2,0,30,40%,4%,50%,2/7/2020,League,
30,BUG Lands,rickp,Lands,Lands,P,0,2,0,14,57%,2%,40%,2/7/2020,League,"bog 'em, don't get bogged"
31,BUG Lands,tadd89,4c Loam,Knight,D,2,1,1,33,52%,4%,40%,2/7/2020,League,
32,BUG Lands,Bttc,W All Taxes,Brew,D,2,1,1,125,58%,16%,40%,2/7/2020,League,
33,RG Lands,Christian,Goblins,Tribal,D,2,1,1,63,78%,8%,50%,2/10/2020,Weekly,
34,RG Lands,Connor,Hogaak,Graveyard,D,2,0,1,66,65%,8%,60%,2/10/2020,Weekly,
35,RG Lands,Paul,Miracles,UW,P,0,2,0,41,44%,5%,60%,2/10/2020,Weekly,
36,RG Lands,Josh W,Maverick,Knight,D,2,1,1,33,52%,4%,60%,2/10/2020,Weekly,
37,Jund Lands,ironclaw2016,Belcher,Storm,P,2,0,1,54,35%,7%,60%,2/10/2020,League,
38,Jund Lands,Bdevera,UWx Control,UW,P,1,2,0,41,44%,5%,60%,2/10/2020,League,
39,Jund Lands,luna12,Eldrazi,Brew,P,2,1,1,125,58%,16%,70%,2/10/2020,League,
40,Jund Lands,TheHydra,Goblins,Tribal,D,2,1,1,63,78%,8%,80%,2/10/2020,League,
41,Jund Lands,Aus_Rotten,RB Reanimate,Brew,P,1,2,0,125,58%,16%,70%,2/10/2020,League,
42,Jund Lands,Lantariel,Urza,Brew,D,0,2,0,125,58%,16%,60%,2/11/2020,League,
43,Jund Lands,CobaltOak,Death & Taxes,White Creatures,D,0,2,0,35,66%,4%,50%,2/11/2020,League,
44,Jund Lands,urssaf,UWx Stoneblade,UW,D,2,1,1,41,44%,5%,50%,2/11/2020,League,
45,Jund Lands,Eothen,Burn,Burn,P,0,2,0,16,63%,2%,50%,2/11/2020,League,
46,Jund Lands,statsgeek,Omnishow,Show & Tell,P,1,2,0,30,40%,4%,40%,2/11/2020,League,
47,BUG Lands,federusher,Stryfo Pile,Non-W Control,P,2,1,1,59,63%,7%,40%,2/12/2020,League,
48,BUG Lands,LewisCBR,RUG Control,Non-W Control,D,0,2,0,59,63%,7%,40%,2/12/2020,League,
49,BUG Lands,Hendrydenrydeutsch,Goblins,Tribal,P,2,0,1,63,78%,8%,40%,2/12/2020,League,
50,BUG Lands,Evalar,UWx Control,UW,P,1,2,0,41,44%,5%,30%,2/12/2020,League,be careful with field of the dead math
51,BUG Lands,Kaziku,RB Reanimate,Brew,P,0,2,0,125,58%,16%,30%,2/12/2020,League,
52,BUG Lands,Larfleeze,UWx Control,UW,D,1,2,0,41,44%,5%,30%,2/12/2020,Practice,
53,BUG Lands,NutKnocker,UR Delver,Delver,D,2,1,1,111,58%,14%,40%,2/12/2020,Practice,
54,RG Lands,Deen R,UWx Control,UW,P,1,2,0,41,44%,5%,30%,2/12/2020,Weekly,
55,RG Lands,Nick C,UR Delver,Delver,P,2,0,1,111,58%,14%,40%,2/12/2020,Weekly,
56,RG Lands,Matt C,Death & Taxes,White Creatures,P,2,0,1,35,66%,4%,50%,2/12/2020,Weekly,
57,BUG Lands,ellaone,Burn,Burn,P,2,1,1,16,63%,2%,50%,2/13/2020,League,
58,BUG Lands,Samu_27,Bomberman,Chalice,D,2,0,1,28,57%,4%,60%,2/13/2020,League,
59,BUG Lands,mtgvins,Eldrazi Aggro,Brew,D,2,0,1,125,58%,16%,60%,2/13/2020,League,
60,BUG Lands,mei0024,UB Shadow,Brew,P,2,1,1,125,58%,16%,70%,2/13/2020,League,
61,BUG Lands,javersonlai,Eldrazi Aggro,Brew,P,2,1,1,125,58%,16%,80%,2/13/2020,League,
62,BG Lands,Stuuch,Mono U Dreadnought,Brew,D,2,0,1,125,58%,16%,90%,2/15/2020,League,
63,BG Lands,MartinMedMitten,Underworld Breach,Storm,P,0,2,0,54,35%,7%,80%,2/15/2020,League,
64,BG Lands,Stryfo,Stryfo Pile,Non-W Control,D,2,0,1,59,63%,7%,90%,2/15/2020,League,
65,BG Lands,Alpha_85,Turbo Depths,BGx Depths,D,2,0,1,16,38%,2%,90%,2/15/2020,League,
66,BG Lands,laywer,Underworld Breach,Storm,P,0,2,0,54,35%,7%,80%,2/15/2020,League,keep fetches with library to clear it
67,BG Lands,neaden,Dredge,Graveyard,D,2,0,1,66,65%,8%,80%,2/15/2020,Practice,
68,RG Lands,Cosmo K,Food Chain,Combo-Control,P,2,1,1,7,43%,1%,80%,2/16/2020,Weekly,
69,RG Lands,Michael A,Astrolabe Control,Non-W Control,P,2,0,1,59,63%,7%,80%,2/16/2020,Weekly,
70,RG Lands,Collin K,Elves,Tribal,D,2,0,1,63,78%,8%,80%,2/16/2020,Weekly,
71,RG Lands,Adam T,Pox,Pox,P,2,1,1,3,100%,0%,80%,2/16/2020,Weekly,
72,BG Lands,hellonewton,Elves,Tribal,D,1,2,0,63,78%,8%,70%,2/17/2020,League,
73,BG Lands,rcondition,Infect,Infect,D,0,2,0,10,60%,1%,70%,2/17/2020,League,
74,BG Lands,RogerSteady,Painter,Painter,D,0,2,0,10,40%,1%,60%,2/17/2020,League,
75,BG Lands,Dano21,Death & Taxes,White Creatures,D,2,0,1,35,66%,4%,60%,2/17/2020,League,
76,BG Lands,basuta,Dredge,Graveyard,P,2,1,1,66,65%,8%,70%,2/17/2020,League,
77,BUG Lands,stevemlp,Death & Taxes,White Creatures,P,0,2,0,35,66%,4%,60%,2/17/2020,League,
78,BUG Lands,seijim2,Grixis Delver,Delver,D,2,1,1,111,58%,14%,60%,2/17/2020,League,
79,BUG Lands,LewisCBR,Grixis Delver,Delver,D,0,2,0,111,58%,14%,50%,2/17/2020,League,
80,BUG Lands,Hexapuss,Eldrazi Stompy,Chalice,P,2,1,1,28,57%,4%,50%,2/17/2020,League,
81,BUG Lands,Jakobian,Slow Depths,BGx Depths,P,0,2,0,16,38%,2%,40%,2/17/2020,League,
82,BUG Lands,Twibs,Eldrazi Post,Big Mana,D,2,1,1,24,83%,3%,50%,2/17/2020,League,
83,BUG Lands,ack93,UWx Control,UW,D,2,1,1,41,44%,5%,60%,2/19/2020,League,
84,BUG Lands,SwwampySwamp,UB Shadow,Brew,P,0,2,0,125,58%,16%,60%,2/19/2020,League,
85,BUG Lands,Jeans8bit,UR Delver,Delver,P,2,0,1,111,58%,14%,60%,2/19/2020,League,
86,BUG Lands,seasonofmists,Steel Stompy,Chalice,P,2,1,1,28,57%,4%,60%,2/19/2020,League,
87,RG Lands,Jimmy,UB Shadow,Brew,D,2,1,1,125,58%,16%,70%,2/19/2020,Weekly,
88,RG Lands,Caleb,Slow Depths,BGx Depths,P,0,2,0,16,38%,2%,60%,2/19/2020,Weekly,
89,RG Lands,Gary ,Manaless Dredge,Graveyard,P,1,2,0,66,65%,8%,60%,2/19/2020,Weekly,
90,Jund Lands,federusher,Stryfo Pile,Non-W Control,D,1,2,0,59,63%,7%,50%,2/20,League,
91,Jund Lands,j27c58794,Dredge,Graveyard,D,2,1,1,66,65%,8%,60%,2/20,League,
92,Jund Lands,LewisCBR,UR Delver,Delver,P,0,2,0,111,58%,14%,50%,2/20,League,
93,Jund Lands,repia1152,Blue Robot Stompy,Brew,P,0,2,0,125,58%,16%,40%,2/20,League,
94,Jund Lands,Visokosi,TES,Storm,D,1,2,0,54,35%,7%,40%,2/20,League,
95,BUG Lands,pistachov,Hogaak,Graveyard,D,2,1,1,66,65%,8%,40%,2/20,League,
96,BUG Lands,piroko139,Esper Vial,White Creatures,D,2,1,1,35,66%,4%,40%,2/20,League,
97,BUG Lands,Swerve_85,Belcher,Storm,D,2,1,1,54,35%,7%,40%,2/20,League,
98,BUG Lands,Sharkcaster_mage,Underworld Breach,Storm,P,2,1,1,54,35%,7%,50%,2/20,League,decay the breach ASAP
99,BUG Lands,swyelsterstruzyna,Infect,Infect,D,2,0,1,10,60%,1%,60%,2/20,League,
100,BUG Lands,cathjues,Underworld Breach,Storm,D,1,2,0,54,35%,7%,60%,2/21,League,
101,BUG Lands,ikespike,Lands,Lands,D,2,1,1,14,57%,2%,60%,2/21,League,
102,BUG Lands,makuto86,RUG Delver,Delver,P,2,1,1,111,58%,14%,70%,2/21,League,
103,BUG Lands,Maraxus_of_NL,Eldrazi Post,Big Mana,P,2,0,1,24,83%,3%,80%,2/21,League,
104,BUG Lands,pATObr,Eldrazi Stompy,Chalice,P,0,2,0,28,57%,4%,80%,2/21,League,
105,Horny Lands,Supercow12653,Elves,Tribal,D,1,2,0,63,78%,8%,70%,2/21,League,
106,Horny Lands,Juzam_Djinn_84,Burn,Burn,D,0,2,0,16,63%,2%,60%,2/21,League,
107,Horny Lands,seijim2,Grixis Delver,Delver,D,0,2,0,111,58%,14%,50%,2/21,League,
108,Horny Lands,a13wa,UWx Stoneblade,UW,P,0,2,0,41,44%,5%,40%,2/21,League,
109,Horny Lands,braxas,Infect,Infect,P,0,2,0,10,60%,1%,30%,2/21,League,
110,BUG Lands,GabrielGruberVaz,Elves,Tribal,P,2,0,1,63,78%,8%,40%,2/21,League,
111,BUG Lands,ironclaw2016,Belcher,Storm,P,2,1,1,54,35%,7%,40%,2/21,League,
112,BUG Lands,GanYanCHN,Eldrazi Stompy,Chalice,P,2,1,1,28,57%,4%,40%,2/21,League,
113,BUG Lands,Jakobian,Eldrazi Post,Big Mana,P,2,1,1,24,83%,3%,40%,2/21,League,
114,BUG Lands,Koike,Nic Fit,Nic Fit,D,2,0,1,8,88%,1%,50%,2/21,League,
115,BUG Lands,nabenabetk,BUG Chalice GSZ,Brew,D,2,1,1,125,58%,16%,60%,2/21,League,
116,BUG Lands,Maniac3130,UR Delver,Delver,D,2,1,1,111,58%,14%,70%,2/21,League,
